item,itemLabel,valuesLabel,authorLabel,publishedInLabel,pp
http://www.wikidata.org/entity/Q56527083,"En torno a la docencia universitaria: Libertad de cátedra, curso, palabra, diálogo",capítulo,Antonio Manzanares Pascual,"""Studia Humanitatis in Honorem"" Antonio Cabrera Perera",18
http://www.wikidata.org/entity/Q56527128,Crisis del lenguaje y enseñanza de la literatura,capítulo,Antonio Manzanares Pascual,Crisis del lenguaje y enseñanza de la literatura,10
http://www.wikidata.org/entity/Q56527222,"Enseñanza del lenguaje, disciplinas lingüísticas, corrientes de la lingüística",ponencia,Antonio Manzanares Pascual,Actas del VII Congreso Internacional de la Sociedad Española de Didáctica de la Lengua y la Literatura,8
http://www.wikidata.org/entity/Q56527820,Breve teoría de Callar: la dialéctica entre el hablar y el callar,capítulo,Antonio Manzanares Pascual,Con quien tanto quería: estudios en homenaje a María del Prado Escobar Bonilla,8
http://www.wikidata.org/entity/Q56635906,"La cuestión clave: ""Pero ¿es o no es la lengua sexista?""",ponencia,Antonio Manzanares Pascual,"Lengua, literatura y género. X Simposio Internacional de la Sociedad Española de Didáctica de la Lengua y la Literatura",19
http://www.wikidata.org/entity/Q56635975,En torno al signo y la gramática,artículo científico,Antonio Manzanares Pascual,Revista de Filología de la Universidad de La Laguna,10
http://www.wikidata.org/entity/Q56641480,"Historia, diacronía, dinamicidad (para una teoría de la dinamicidad en el lenguaje)",artículo científico,Antonio Manzanares Pascual,Philologica canariensia,20
http://www.wikidata.org/entity/Q56641584,Esencia y sentido de la etimología como odinámica simbólica del lenguaje,artículo científico,Antonio Manzanares Pascual,Philologica canariensia,40
http://www.wikidata.org/entity/Q56641642,"Tres rasgos en la definición de la palabra: disponibilidad, denominación y atracción aglutinante",artículo científico,Antonio Manzanares Pascual,Revista de Filología de la Universidad de La Laguna,10
http://www.wikidata.org/entity/Q56641667,Expresividad: de la metáfora al grado cero,artículo científico,Antonio Manzanares Pascual,Philologica canariensia,34
http://www.wikidata.org/entity/Q56641681,Lenguaje y sacralidad,artículo científico,Antonio Manzanares Pascual,Philologica canariensia,29
http://www.wikidata.org/entity/Q56525110,Pronombre y teoría del lenguaje en las gramáticas españolas del siglo XIX,tesis doctoral,Antonio Manzanares Pascual,,
http://www.wikidata.org/entity/Q56525232,El paradigma filológico frente al racionalista en la historia de la lingüística,ponencia,Antonio Manzanares Pascual,,
http://www.wikidata.org/entity/Q56635984,El artículo y la historia de la gramática: la formación de la doctrina clásica,artículo científico,Antonio Manzanares Pascual,,
http://www.wikidata.org/entity/Q56641535,Diálogo y Lenguaje. Notas de aclaración y fundamentación,artículo científico,Antonio Manzanares Pascual,,
http://www.wikidata.org/entity/Q51098650,"El ""Periplo"" de Hanón: una propuesta de interpretación",artículo científico,Antonio Santana Santana,Latomus,14
http://www.wikidata.org/entity/Q51099634,"Las dos islas Hespérides atlánticas (Lanzarote y Fuerteventura, Islas Canarias, España) durante la Antigüedad",artículo científico,Antonio Santana Santana,Gerión. Revista de Historia Antigua,25
http://www.wikidata.org/entity/Q51100024,"Plinio, nat. VI, 203: ¿Ortus u Occasus petatur?",artículo científico,Antonio Santana Santana,Latomus,13
http://www.wikidata.org/entity/Q51118869,La expedición de Juba II a las Islas Afortunadas y el meridiano 0 del Orbis Terrarum,artículo científico,Antonio Santana Santana,Orbis Terrarum,15
http://www.wikidata.org/entity/Q51119407,El conocimiento geográfico del océano en la Antigüedad,artículo científico,Antonio Santana Santana,Eres,51
http://www.wikidata.org/entity/Q53877497,La descripción de África en Plinio (Nat. V y VI),capítulo,Antonio Santana Santana,Libyae Lustrare Extrema. Realidad y literatura en la visión grecorromana de África.  Estudios en honor al Prof. Jehan Desanges,14
http://www.wikidata.org/entity/Q56284700,La dramaturgia de Claudio de la Torre,capítulo,Carmen Márquez Montes,Con quien tanto quería: estudios en homenaje a María del Prado Escobar Bonilla,14
http://www.wikidata.org/entity/Q56284876,"""Don Quijote"" en el teatro hispanoamericano",ponencia,Carmen Márquez Montes,Territorios de la Mancha: Versiones y subversiones cervantinas en l literatura hispanoamericana,10
http://www.wikidata.org/entity/Q56284888,Viajes de Colón por la escena hispanoamericana en tres actos,ponencia,Carmen Márquez Montes,El viaje en la literatura hispanoamericana: el espíritu colombino,10
http://www.wikidata.org/entity/Q56285734,Fichas de la producción dramática de Isidora Aguirre,capítulo,Carmen Márquez Montes,Isadora Aguirre: entre la historia y el compromiso,7
http://www.wikidata.org/entity/Q56285747,Cenizas y diamantes en la producción de Fermín Cabal,capítulo,Carmen Márquez Montes,En buena compañía: estudios en honor de Luciano García Lorenzo,12
http://www.wikidata.org/entity/Q56285745,"Historia chilena, historias en el teatro de Isidora Aguirre",capítulo,Carmen Márquez Montes,Isadora Aguirre: entre la historia y el compromiso,9
http://www.wikidata.org/entity/Q56285758,El epistolario galdosiano como recurso pedagógico,capítulo,Carmen Márquez Montes,Retos en la adquisición de las literaturas y de las lenguas en la era digital,8
http://www.wikidata.org/entity/Q56285757,Una bibliografía de Tomás Morales. Fuentes y crítica,capítulo,Carmen Márquez Montes,Tomás Morales: versos y ecos entre dos siglos,17
http://www.wikidata.org/entity/Q56285763,Miradas diversas y sociales desde el teatro de Gracia Morales,ponencia,Carmen Márquez Montes,"Diversidad en la literatura, el cine y la prensa española contemporánea",13
http://www.wikidata.org/entity/Q56285766,Propuestas para una didáctica del texto basada en su carácter multimodal en las situaciones comunicativas actuales,capítulo,Carmen Márquez Montes,Las tecnologías de información y comunicación para la innovación y el desarrollo,9
http://www.wikidata.org/entity/Q56285889,Primera generación del moderno teatro venezolano,artículo científico,Carmen Márquez Montes,Espejo de paciencia: revista de literatura y arte,9
http://www.wikidata.org/entity/Q56308693,"IX Festival del Sur-Encuentro teatral tres continentes (Agüimes, Gran Canaria)",artículo científico,Carmen Márquez Montes,Latin American Theatre Review,4
http://www.wikidata.org/entity/Q56309342,El rito y la fiesta en la dramaturgia de Román Chalbaud,artículo científico,Carmen Márquez Montes,Teatro: revista de estudios teatrales,9
http://www.wikidata.org/entity/Q56310341,X Festival del Sur -Encuentro teatral tres continentes,artículo científico,Carmen Márquez Montes,Latin American Theatre Review,1
http://www.wikidata.org/entity/Q56310664,La mexicanidad en el teatro. Rodolfo Usigli,artículo científico,Carmen Márquez Montes,Espejo de paciencia: revista de literatura y arte,6
http://www.wikidata.org/entity/Q56310705,Dramaturgas en el teatro venezolano: Elisa Lerner y Mariela Romero,artículo científico,Carmen Márquez Montes,Arrabal,8
http://www.wikidata.org/entity/Q56316596,Festival del Sur ''98,artículo científico,Carmen Márquez Montes,Latin American Theatre Review,6
http://www.wikidata.org/entity/Q56316729,Escrito y sellado: paradigma de un estilo,artículo científico,Carmen Márquez Montes,Arrabal,10
http://www.wikidata.org/entity/Q56316735,Panorama del teatro venezolano en el siglo XX,artículo científico,Carmen Márquez Montes,Philologica canariensia,10
http://www.wikidata.org/entity/Q56316741,Las comedias de Claudio de la Torre,artículo científico,Carmen Márquez Montes,El Museo Canario,20
http://www.wikidata.org/entity/Q56316853,José Antonio Rial. Un viajero a las Américas,artículo científico,Carmen Márquez Montes,Anuario Americanista Europeo,13
http://www.wikidata.org/entity/Q56317207,Dramaturgias venezolanas desde la mitad del siglo XX,artículo científico,Carmen Márquez Montes,Nuestra América,10
http://www.wikidata.org/entity/Q56317713,Por los escenarios de Latinoamérica,artículo científico,Carmen Márquez Montes,ADE Teatro. Revista de la Asociación de Directores de Escena de España,5
http://www.wikidata.org/entity/Q56318714,Isidora Aguirre: entre la Historia y el compromiso,artículo científico,Carmen Márquez Montes,Arrabal,10
http://www.wikidata.org/entity/Q56318905,Ramón del Valle-Inclán en la escena hispanoamericana,artículo científico,Carmen Márquez Montes,ADE Teatro. Revista de la Asociación de Directores de Escena de España,14
http://www.wikidata.org/entity/Q56319312,"De las ondas al movimiento teatral ONCE. Entrevista a Antonia Merchán, directora y autora",artículo científico,Carmen Márquez Montes,ADE Teatro. Revista de la Asociación de Directores de Escena de España,6
http://www.wikidata.org/entity/Q56284540,Los placeres robados en El último cuerpo de Ursula de Patricia de Souza,capítulo,Carmen Márquez Montes,Escribir el cuerpo: 19 asedios desde la literatura hispanoamericana,12
http://www.wikidata.org/entity/Q56284676,Los espacios sociales en la dramaturgia de Isidora Aguirre,ponencia,Carmen Márquez Montes,Dramaturgias femeninas en la segunda mitad del siglo XX: espacio y tiempo,12
http://www.wikidata.org/entity/Q56284509,Isadora Aguirre: entre la historia y el compromiso,libro,Carmen Márquez Montes,,
http://www.wikidata.org/entity/Q56284595,La nueva dramaturgia peruana,ponencia,Carmen Márquez Montes,,
http://www.wikidata.org/entity/Q56284614,Los sentidos de la dramaturgia de Virgilio Piñera,ponencia,Carmen Márquez Montes,,
http://www.wikidata.org/entity/Q56285738,Entrevista con Isidora Aguirre,capítulo,Carmen Márquez Montes,,
http://www.wikidata.org/entity/Q56261041,Acerca de la preposición en el objeto directo y otras cuestiones,capítulo,Consuelo Herrera Caso,Contribuciones al estudio de la lingüística hispánica: homenaje al profesor Ramón Trujillo,12
http://www.wikidata.org/entity/Q56261050,Aproximación a la sintaxis de las estructuras comparativas de desigualdad: Estado de la cuestión,ponencia,Consuelo Herrera Caso,"Actas del XI Congreso Internacional de la Asociación de Lingüística y Filología de la América Latina Las Palmas de Gran Canaria, del 22 al 27 de julio de 1996",10
http://www.wikidata.org/entity/Q56261066,El significado del infinitivo y su supuesta incapacidad para relacionarse con un sujeto,capítulo,Consuelo Herrera Caso,Homenaje a Alfonso Armas Ayala,20
http://www.wikidata.org/entity/Q56261612,"""La bondad que recuerdo que tenías"", de nuevo",ponencia,Consuelo Herrera Caso,"Cien años de investigación semántica, de Michel Breal a la actualidad: actas del Congreso Internacional de Semántica",12
http://www.wikidata.org/entity/Q56261620,El oficio de investigar,capítulo,Consuelo Herrera Caso,"""Studia Humanitatis in Honorem"" Antonio Cabrera Perera",6
http://www.wikidata.org/entity/Q56261628,Evolución del concepto de perífrasis verbal en la obra científica de Emilio Alarcos,ponencia,Consuelo Herrera Caso,"Nuevas aportaciones a la historiografía lingüística: actas del IV Congreso Internacional de la SEHL, La Laguna (Tenerife), 22 al 25 de octubre de 2003",11
http://www.wikidata.org/entity/Q56261634,Acerca de la incompatibilidad de implemento y suplemento en los escritos de Emilio Alarcos Llorach,capítulo,Consuelo Herrera Caso,Homenaje a Francisco Navarro Artiles,14
http://www.wikidata.org/entity/Q56262859,De nuevo sobre las etructuras comparativas de desigualdad: eficacia de noción `/que/`de Emilio Alarcos Llorach,capítulo,Consuelo Herrera Caso,Con quien tanto quería: estudios en homenaje a María del Prado Escobar Bonilla,10
http://www.wikidata.org/entity/Q56265432,La inexistencia de la voz pasiva en español,capítulo,Consuelo Herrera Caso,"Estudios de traducción, cultura, lengua y literatura. In memoriam Virgilio Moya Jiménez",10
http://www.wikidata.org/entity/Q56284221,"La capacidad del infinitivo para generar una oración, según Tesnière y Alarcos",capítulo,Consuelo Herrera Caso,La luz no interrumpida: homenaje a Eugenio Padorno,12
http://www.wikidata.org/entity/Q56284338,La expresividad en el esquema comparativo,artículo científico,Consuelo Herrera Caso,Revista de Filología de la Universidad de La Laguna,10
http://www.wikidata.org/entity/Q56284355,Cien variantes canarias del romance popular Blancaflor y Filomena: Estudio lingüístico,artículo científico,Consuelo Herrera Caso,Vector plus,11
http://www.wikidata.org/entity/Q56284382,Anotaciones sobre el contexto en el comentario de un texto,artículo científico,Consuelo Herrera Caso,Philologica canariensia,32
http://www.wikidata.org/entity/Q56284429,A propósito de la auxiliaridad,artículo científico,Consuelo Herrera Caso,Philologica canariensia,12
http://www.wikidata.org/entity/Q56284445,Algunas cuestiones sobre la oración compuesta por subordinación en Alarcos: Diferencias y similitudes con respecto a la gramática tradicional,artículo científico,Consuelo Herrera Caso,Revista de Filología de la Universidad de La Laguna,13
http://www.wikidata.org/entity/Q56284469,La subordinación oracional: del esbozo a la nueva gramática,artículo científico,Consuelo Herrera Caso,Philologica canariensia,40
http://www.wikidata.org/entity/Q51721764,"Puerto, empresas y ciudad: una aproximación histórica al caso de Las Palmas de Gran Canaria",artículo científico,Daniel Castillo Hidalgo,Revista de Historia Industrial,23
http://www.wikidata.org/entity/Q51722885,Path dependence and change in the Spanish port system in the long run (1880–2014): An historical perspective,artículo científico,Daniel Castillo Hidalgo,International Journal of Maritime History,27
http://www.wikidata.org/entity/Q51723125,La configuración de las redes de transporte marítimo en Africa noroccidental (1880-1939),artículo científico,Daniel Castillo Hidalgo,Investigaciones de historia económica,11
http://www.wikidata.org/entity/Q51723557,"Dakar: puerto de guerra y de comercio durante la Primera Guerra Mundial, 1914-1918",artículo científico,Daniel Castillo Hidalgo,Ayer,26
http://www.wikidata.org/entity/Q51723790,"Crisis Económica en África Occidental: el caso de Dakar, 1929-1939",artículo científico,Daniel Castillo Hidalgo,Cuadernos de Historia Contemporánea,23
http://www.wikidata.org/entity/Q51723993,"La carga sobre la espalda. Trabajadores africanos en el puerto de comercio de Dakar, 1910-1949",artículo científico,Daniel Castillo Hidalgo,Revista de Historia Industrial,32
http://www.wikidata.org/entity/Q51724187,"Dakar et Casablanca, deux ports pour la globalisation: trajectoires d’innovation technique dans les ports de l’Afrique de l’Ouest",artículo científico,Daniel Castillo Hidalgo,Hespéris-Tamuda,33
http://www.wikidata.org/entity/Q51724678,"Dakar, un puerto al servicio del Imperio: infraestructuras, instituciones y administración portuaria en África Occidental (1857-1939)",artículo científico,Daniel Castillo Hidalgo,Passagens,25
http://www.wikidata.org/entity/Q51724818,"¿Vías para el Desarrollo Económico? Expansión de los cultivos de exportación en Senegal, 1880-1918",artículo científico,Daniel Castillo Hidalgo,TST,26
http://www.wikidata.org/entity/Q51725701,"Buques, ferrocarriles y cacahuetes. Modernización de las infraestructuras en el puerto de Dakar y la introducción de Senegal en los mercados internacionales (1857-1936)",artículo científico,Daniel Castillo Hidalgo,TST,24
http://www.wikidata.org/entity/Q51725844,Forjando Imperios: la conferencia marítima de 1895 y su repercusión en Canarias y África Occidental (1895-1914),artículo científico,Daniel Castillo Hidalgo,TST,22
http://www.wikidata.org/entity/Q51725992,A influência do comércio exterior na configuração da hierarquia portuária no Senegal: processos de concentração e exclusão na periferia da economia global (1880-1939),artículo científico,Daniel Castillo Hidalgo,Tempo,21
http://www.wikidata.org/entity/Q51750710,"Las puertas del Imperio. Análisis del sistema portuario de Senegal: jerarquía, centralidad y complementariedad en un contexto colonial, 1839-1910",artículo científico,Daniel Castillo Hidalgo,Investigaciones de historia económica,11
http://www.wikidata.org/entity/Q51750926,"The Port of Dakar: Technological Evolution, Management and Commercial Activity",artículo científico,Daniel Castillo Hidalgo,"Atlantic Ports and the First Globalisation, c. 1850–1930",21
http://www.wikidata.org/entity/Q51751431,Trabajadores portuarios y conflictividad social en África Occidental. El caso de Dakar (1910-1946),artículo científico,Daniel Castillo Hidalgo,Fronteras de agua: las ciudades portuarias y su universo cultural (siglos XIV-XXI),15
http://www.wikidata.org/entity/Q51751680,"Modernización de las infraestructuras y administración portuaria en África Occidental: Canarias, Casablanca y Dakar",artículo científico,Daniel Castillo Hidalgo,"La gobernanza de los puertos atlánticos, siglos XIV-XX: políticas y estructuras portuarias",23
http://www.wikidata.org/entity/Q51751842,Puertos y regiones marítimas en España en perspectiva histórica: movimiento comercial y transformaciones económicas (c. 1880-2009),ponencia,Daniel Castillo Hidalgo,"PHICARIA IV. Los puertos mediterráneos: contactos, multiculturalidad e intercambios: estrategias socioeconómicas, políticas y ecológicas",18
http://www.wikidata.org/entity/Q51752477,El Puerto de Dakar: ¿cola de león o cabeza de ratón? Factores de competitividad e integración en la Red Atlántica (1910-1960),ponencia,Daniel Castillo Hidalgo,No es país para jóvenes,20
http://www.wikidata.org/entity/Q51752772,Del mar a la tierra. La inversión inmobiliaria de las empresas portuarias en Las Palmas de Gran Canaria (1928-1960),ponencia,Daniel Castillo Hidalgo,XVIII Coloquio de Historia Canario-americana,9
http://www.wikidata.org/entity/Q51753118,1956-2016. 60 años de historia marítima regional (siglos XIX-XX). Un balance historiográfico,ponencia,Daniel Castillo Hidalgo,XXII Coloquio de Historia Canario-Americana,13
http://www.wikidata.org/entity/Q51757083,Northwest Africa from colonial to global shipping,artículo científico,Daniel Castillo Hidalgo,"Advances in Shipping Data Analysis and Modelling. Tracking and Mapping Maritime Flows in the Age of Big Data, Routledge Studies in Transport Analysis",16
http://www.wikidata.org/entity/Q51757344,Entre la centralité et la complémentarité: Les systèmes et sous-systèmes portuaires en Afrique Occidentale (1885-1914),artículo científico,Daniel Castillo Hidalgo,La Maritimisation du Monde. De la Préhistoire à Nos Jours,26
http://www.wikidata.org/entity/Q51757628,La première modernisation portuaire au Sénégal: le rôle fondateur du Dakar (1880-1939),artículo científico,Daniel Castillo Hidalgo,Revue d´Histoire Maritime,23
http://www.wikidata.org/entity/Q51757822,La Proyección Internacional del Puerto de Las Palmas,artículo científico,Daniel Castillo Hidalgo,"125 Años de Nuestro Puerto, una Historia unida al desarrollo de la ciudad",8
http://www.wikidata.org/entity/Q51715192,Tendiendo puentes: Dakar y la configuración de la red de puertos de África Occidental. Evolución y análisis de una comunidad portuaria (1857-1957),tesis doctoral,Daniel Castillo Hidalgo,,
http://www.wikidata.org/entity/Q51756820,"Puerto de Dakar, puerta de África Occidental. Una Historia Económica de Senegal (1857-1957)",libro,Daniel Castillo Hidalgo,,
http://www.wikidata.org/entity/Q51758145,"Dockers in Las Palmas: Technological changes, institutional evolution and waterfront radicalism (1960-2009)",artículo científico,Daniel Castillo Hidalgo,,
http://www.wikidata.org/entity/Q51758403,Dynamiques économiques portuaires et réseaux dans l´Atlantique en perspective historique (XVe-XXIe siècles),artículo científico,Daniel Castillo Hidalgo,,
http://www.wikidata.org/entity/Q56100830,Obama and Bush: their victory and non-victory speeches,artículo científico,Dolores Fernández Martínez,Onomázein,13
http://www.wikidata.org/entity/Q56472107,Obras manuscritas de los geóponos andalusíes (siglos X-XII),capítulo,Eloísa Llavero Ruiz,Homenaje al Prof. Jacinto Bosch Vilá,18
http://www.wikidata.org/entity/Q56472470,La importancia del Estrecho en el desarrollo y la preservación de la ciencia andalusí,ponencia,Eloísa Llavero Ruiz,"Actas del II Congreso Internacional ""El Estrecho de Gibraltar""",8
http://www.wikidata.org/entity/Q56472661,Las Ciencias de la Naturaleza en la Taifa de Badajoz,capítulo,Eloísa Llavero Ruiz,Bataliús: el reino taifa de Badajoz,20
http://www.wikidata.org/entity/Q56472961,La odontología en al-Andalus,capítulo,Eloísa Llavero Ruiz,La medicina en Al-Andalus,14
http://www.wikidata.org/entity/Q56473443,"Panorama cultural de Al-Andalus: según Abu L-Qasim Sa'id b. Ahmad, cadí de Toledo",artículo científico,Eloísa Llavero Ruiz,Boletín de la Asociación Española de Orientalistas,32
http://www.wikidata.org/entity/Q56473627,"El cadí Sa'id de Toledo, primer historiador de la Filosofía y de las Ciencias en el mundo árabe",artículo científico,Eloísa Llavero Ruiz,Anales toledanos,23
http://www.wikidata.org/entity/Q56480764,Afecciones y tratamiento del oído en la España Musulmana,artículo científico,Eloísa Llavero Ruiz,Boletín de la Asociación Española de Orientalistas,10
http://www.wikidata.org/entity/Q56480776,"Las verrugas, sus síntomas y tratamiento según el Kitab al-istiqsa de Muhammad al-Safra",artículo científico,Eloísa Llavero Ruiz,Boletín de la Asociación Española de Orientalistas,7
http://www.wikidata.org/entity/Q56480788,Plantas medicinales legendarias: La sangre de drago,artículo científico,Eloísa Llavero Ruiz,Boletín Millares Carlo,8
http://www.wikidata.org/entity/Q56480808,Afecciones dentales más habituales en los textos médicos andalusíes,artículo científico,Eloísa Llavero Ruiz,Boletín de la Asociación Española de Orientalistas,20
http://www.wikidata.org/entity/Q56480826,La medicina granadina del siglo XVI y Muhammad Al-Safra,artículo científico,Eloísa Llavero Ruiz,Revista del Centro de Estudios Históricos de Granada y su Reino,22
http://www.wikidata.org/entity/Q56480860,Realidades granadinas entre la ciencia y la vida,artículo científico,Eloísa Llavero Ruiz,Revista del Instituto Egipcio de Estudios Islámicos,36
http://www.wikidata.org/entity/Q56480943,La escuela científica toledana del siglo XI,artículo científico,Eloísa Llavero Ruiz,Revista del Instituto Egipcio de Estudios Islámicos,12
http://www.wikidata.org/entity/Q56480964,Los estudios árabes en las Palmas de Gran Canaria,artículo científico,Eloísa Llavero Ruiz,Philologica canariensia,14
http://www.wikidata.org/entity/Q56471630,Un tratado de cirugia hispano-arabe del s. XIV: el Kitab al-Istiqsa de Muhammad al-Safra,tesis doctoral,Eloísa Llavero Ruiz,,
http://www.wikidata.org/entity/Q56471827,Historia de la Filosofía y de las Ciencias o Libro de las categorías de las naciones: Kitãb tabaqãt al-umam,libro,Eloísa Llavero Ruiz,,
http://www.wikidata.org/entity/Q51453356,Relaciones morfoléxicas sufijales del español,artículo científico,Francisco Javier Carreras Riudavets,Procesamiento del Lenguaje Natural,74
http://www.wikidata.org/entity/Q51459170,Hacia la desambiguación funcional automática en Español,artículo científico,Francisco Javier Carreras Riudavets,Procesamiento del Lenguaje Natural,22
http://www.wikidata.org/entity/Q51459531,Sistema computacional de gestión morfológica del español (SCOGEME),artículo científico,Francisco Javier Carreras Riudavets,Procesamiento del Lenguaje Natural,2
http://www.wikidata.org/entity/Q51459974,FLAVER: reflexionador y lematizador automático de formas verbales,artículo científico,Francisco Javier Carreras Riudavets,Lingüística Española Actual,50
http://www.wikidata.org/entity/Q51460906,Geisa: un diccionario de sinónimos en formato electrónico,artículo científico,Francisco Javier Carreras Riudavets,Revista de Lexicografia,23
http://www.wikidata.org/entity/Q51573800,Automatic syllabification for Spanish using lemmatization and derivation to solve the prefix’s prominence issue,artículo científico,Francisco Javier Carreras Riudavets,Expert Systems with Applications,9
http://www.wikidata.org/entity/Q51574529,A Morphological Analyzer Using Hash Tables in Main Memory (MAHT) and a Lexical Knowledge Base,ponencia,Francisco Javier Carreras Riudavets,Computational Linguistics and Intelligent Text Processing,11
http://www.wikidata.org/entity/Q51575375,"Experience using virtual programming labs, screencasts and concept maps in a first-year programming course",ponencia,Francisco Javier Carreras Riudavets,ICERI2011 Proceedings,6
